dataset,embedding,evidence_tokens,full_evidence,graph_actions,harmful_expansions,policy,policy_latency_ms,retrieval_latency_ms,seed,support_mrr,support_ndcg,support_recall,support_recall_at_2,support_recall_at_5,total_latency_ms,total_latency_ms_p95
musique,qwen3-embedding_0.6b,1061.186,0.252,2.694,2.395,mrv_gated,71.87492090254091,276.15275929891504,101,0.7212928571428572,0.5298935447096599,0.5613333333333334,0.35525,0.49075,348.2013295968063,477.351370069664
musique,qwen3-embedding_0.6b,1055.748,0.438,0.707,0.0,oracle_upper_bound,40.74946120311506,276.15275929891504,101,0.7484357142857143,0.6413078728757303,0.7114166666666666,0.35525,0.6833333333333332,317.0731031005271,441.38517000246793
musique,qwen3-embedding_0.6b,944.102,0.09,0.0,0.0,bm25,0.01812440063804388,78.16732849855907,101,0.61005,0.40097181652659536,0.40325,0.27466666666666667,0.36816666666666664,78.34223820245825,118.41077510034665
musique,qwen3-embedding_0.6b,1043.43,0.178,0.0,0.0,dense,0.021396897733211517,3.6550475030671805,101,0.7425190476190476,0.5189350786677224,0.5266666666666667,0.35583333333333333,0.47600000000000003,3.846886099781841,4.619200027082115
musique,qwen3-embedding_0.6b,1020.703,0.142,0.0,0.0,rrf_fusion,0.020003499230369925,81.42628660495393,101,0.717654761904762,0.49743093461903454,0.5051666666666667,0.3375,0.4656666666666667,81.61337219947018,121.13296500174327
musique,qwen3-embedding_0.6b,1052.023,0.156,0.0,0.0,hybrid,0.022689599776640534,95.83077379805036,202,0.7320904761904763,0.5121983463094575,0.521,0.35525,0.47933333333333333,96.0484327012673,135.94959012698382
musique,qwen3-embedding_0.6b,1115.355,0.18,3.0,2.755,relevance_always,83.56791879958473,95.83077379805036,202,0.7213452380952381,0.508120543653926,0.5211666666666668,0.35525,0.45083333333333336,179.58656279998831,234.711075189989
musique,qwen3-embedding_0.6b,1066.243,0.252,2.991,2.687,mrv_always,81.06915219617076,95.83077379805036,202,0.7197119047619047,0.5267418219762537,0.5565833333333333,0.35525,0.48208333333333336,177.07998969545588,234.16971014812586
musique,qwen3-embedding_0.6b,1096.491,0.187,2.574,2.336,relevance_gated,69.88174979831092,95.83077379805036,202,0.7235166666666667,0.5130533206093773,0.5291666666666667,0.35525,0.4673333333333334,165.89915980165824,226.1972350184805
musique,qwen3-embedding_0.6b,1057.561,0.258,2.632,2.336,mrv_gated,70.03853740147315,95.83077379805036,202,0.7215428571428572,0.5312041977748114,0.56375,0.35525,0.4956666666666667,166.05110810464248,225.16063007060438
musique,qwen3-embedding_0.6b,1055.748,0.438,0.707,0.0,oracle_upper_bound,41.03217740030959,95.83077379805036,202,0.7484357142857143,0.6413078728757303,0.7114166666666666,0.35525,0.6833333333333332,137.04256739513949,207.8535700100474
musique,qwen3-embedding_0.6b,944.102,0.09,0.0,0.0,bm25,0.018195101525634527,79.92844739719294,202,0.61005,0.40097181652659536,0.40325,0.27466666666666667,0.36816666666666664,80.11130029545166,119.33948000660165
musique,qwen3-embedding_0.6b,1043.43,0.178,0.0,0.0,dense,0.02054489846341312,3.650845503434539,202,0.7425190476190476,0.5189350786677224,0.5266666666666667,0.35583333333333333,0.47600000000000003,3.848459999775514,4.4614598504267615
musique,qwen3-embedding_0.6b,1020.703,0.142,0.0,0.0,rrf_fusion,0.019583204528316855,83.99775780155323,202,0.717654761904762,0.49743093461903454,0.5051666666666667,0.3375,0.4656666666666667,84.19058130169287,123.86937002884223
musique,qwen3-embedding_0.6b,1052.023,0.156,0.0,0.0,hybrid,0.017855299171060324,77.4835618021898,303,0.7320904761904763,0.5121983463094575,0.521,0.35525,0.47933333333333333,77.67267150850967,112.8239250392653
musique,qwen3-embedding_0.6b,1115.355,0.18,3.0,2.755,relevance_always,71.11084109754302,77.4835618021898,303,0.7213452380952381,0.508120543653926,0.5211666666666668,0.35525,0.45083333333333336,148.760501394514,195.89175465516746
musique,qwen3-embedding_0.6b,1074.091,0.249,2.994,2.688,mrv_always,69.28633960103616,77.4835618021898,303,0.7197523809523809,0.5265550123517936,0.5560833333333334,0.35525,0.48175,146.93118800362572,194.19251964427525
musique,qwen3-embedding_0.6b,1095.528,0.186,2.444,2.211,relevance_gated,56.48758010263555,77.4835618021898,303,0.7238571428571428,0.5131732410894809,0.5288333333333333,0.35525,0.4685,134.13427910394967,191.07038474176076
musique,qwen3-embedding_0.6b,1062.907,0.254,2.523,2.231,mrv_gated,57.527057798113674,77.4835618021898,303,0.7221000000000001,0.5312214718102645,0.5630833333333334,0.35525,0.49775,135.16871240222827,190.53634013980624
musique,qwen3-embedding_0.6b,1055.748,0.438,0.707,0.0,oracle_upper_bound,35.17786180181429,77.4835618021898,303,0.7484357142857143,0.6413078728757303,0.7114166666666666,0.35525,0.6833333333333332,112.8181530975271,172.7831052849069
musique,qwen3-embedding_0.6b,944.102,0.09,0.0,0.0,bm25,0.016013198532164097,70.94134629634209,303,0.61005,0.40097181652659536,0.40325,0.27466666666666667,0.36816666666666664,71.09991219709627,105.4628898622468
musique,qwen3-embedding_0.6b,1043.43,0.178,0.0,0.0,dense,0.01998889888636768,3.538244304480031,303,0.7425190476190476,0.5189350786677224,0.5266666666666667,0.35583333333333333,0.47600000000000003,3.713774702278897,3.9752649958245456
musique,qwen3-embedding_0.6b,1020.703,0.142,0.0,0.0,rrf_fusion,0.018336903071030974,74.17915130220354,303,0.717654761904762,0.49743093461903454,0.5051666666666667,0.3375,0.4656666666666667,74.35005550575443,108.2356798928231
