dataset,full_evidence_delta,gated_full_evidence,gated_graph_actions,hybrid_full_evidence,query_id,question_type,support_count,support_recall_delta
hotpot,0.0,1.0,0.0,1.0,5a74629255429929fddd8402,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74639a55429929fddd8404,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74655b55429974ef308bf0,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a74670855429929fddd840d,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a74684655429929fddd8410,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a746a4455429974ef308bf6,comparison,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a746abf55429929fddd8417,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a746ddc55429929fddd8423,comparison,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a74702555429929fddd8428,comparison,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a7471f655429979e2882955,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a74760b55429974ef308c03,comparison,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a7481d755429974ef308c12,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a74872655429979e2882978,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a74879255429974ef308c1d,comparison,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a7499eb55429929fddd8470,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a749af055429979e28829b7,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a749e1855429979e28829c3,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a74a26a55429979e28829d6,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a74a62b55429916b01641a0,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a74ab6055429916b01641b9,comparison,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74adb455429916b01641c6,comparison,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74ae6a55429916b01641c9,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a74af7e55429916b01641d2,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74b4dc55429979e2882a00,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a74b4e555429929fddd84c2,comparison,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74b55455429974ef308c39,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74b66a55429929fddd84cb,comparison,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74be0b5542996c70cfadc8,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74be7a55429929fddd84e4,bridge,2,0.0
hotpot,1.0,1.0,1.0,0.0,5a74bfa55542996c70cfadcf,bridge,2,0.5
hotpot,0.0,1.0,1.0,1.0,5a74c1c05542996c70cfadd8,bridge,2,0.0
